"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI";"TEMP";"SAL";"CHL";"PHEO";"PHOS";"SI";"NOx";"NH4";"TURB";"TURBFNU";"MES";"MESO";"STRATIF_TEMP";"STRATIF_SAL";"GRAD_TURB";"Precipitation";"Rg";"Tair.min";"Tair.max";"Debit.Eyre";"T.eau.eyrac";"Coefficient";"Vent";"NAO";"NAO_month";"AMO_month"
"1987-01-28";"80";NA;"10300";NA;"80";NA;NA;NA;"1840";"240";NA;NA;NA;NA;NA;"0";NA;"1040";NA;NA;NA;NA;"80";"1600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"800";NA;NA;"80";"80";NA;NA;NA;"2080";NA;"480";NA;NA;NA;"80";NA;NA;NA;"37200";NA;"640";"960";NA;NA;"5.7";"31.6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"628";"4.2";"15.3";"14.9";"4.1";"74";"500";"-1.224";"-1.15";"-0.26"
"1987-02-17";"100";NA;NA;NA;NA;NA;NA;"1600";"900";"2000";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"400";NA;"200";NA;NA;NA;NA;NA;NA;"900";"100";NA;"1600";NA;NA;"400";NA;NA;NA;NA;"20300";NA;"2100";NA;"200";NA;NA;"6100";NA;"300";"5400";NA;NA;NA;NA;NA;"9.2";"31.8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"1190";"0.7";"7.6";"21.5";"9.3";"89";"1100";"-2.422";"-0.73";"-0.2"
"1987-03-27";"100";NA;NA;NA;"100";"100";NA;"3100";"10100";"1100";NA;NA;NA;"200";NA;"0";NA;NA;"11500";NA;NA;NA;"200";"900";"100";NA;NA;NA;NA;NA;"3600";"570480";"200";NA;NA;NA;NA;"300";NA;NA;NA;NA;"4800";NA;"400";NA;"500";NA;"100";"13300";"1800";"1200";NA;NA;"4100";NA;NA;NA;"11.2";"31.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"16.4";"562";"5.8";"17.3";"12";"11.2";"76";"852";"-0.281";"0.14";"-0.015"
"1987-04-07";NA;NA;"5300";NA;NA;"300";NA;"2600";"10850";"3000";NA;NA;NA;NA;NA;"0";NA;"100";"3400";NA;NA;NA;"100";"17860";NA;NA;NA;NA;NA;NA;NA;"39480";"200";NA;"200";NA;NA;"1200";NA;NA;NA;NA;"62180";NA;"700";NA;NA;NA;"400";"9900";"400";"200";"4100";NA;"900";NA;NA;NA;"12.2";"29.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2.2";"449";"11.5";"15.2";"15.1";"11.7";"25";"859";"-1.321";"2";"0.047"
"1987-04-17";NA;NA;"9300";NA;NA;"200";NA;"3100";"36600";"400";NA;NA;NA;NA;NA;"850";NA;"100";NA;"100";NA;NA;"200";"300";"700";NA;NA;NA;NA;NA;NA;"510200";"200";NA;"200";NA;NA;NA;NA;"100";NA;NA;"2500";NA;"100";NA;NA;NA;"200";"12900";"800";"400";NA;NA;"2000";NA;NA;NA;"13.3";"31.9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"2311";"8.9";"20.5";"13.2";"14.3";"92";"318";"1.016";"2";"0.047"
"1987-04-24";NA;NA;"3000";NA;NA;"300";NA;"400";"130200";"400";NA;NA;NA;NA;NA;"700";NA;NA;"1400";NA;NA;NA;"200";"2600";"400";NA;NA;NA;NA;NA;NA;"2900";NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;"1700";NA;"100";NA;"100";NA;"100";"1400";"700";"100";NA;NA;NA;NA;NA;NA;"15.5";"30.8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5.2";"625";"13.4";"19.6";"10.6";"15.8";"63";"464";"2.259";"2";"0.047"
"1987-04-29";"200";NA;"3300";NA;NA;"400";NA;"1600";"307900";"4100";NA;NA;NA;NA;NA;"50";NA;NA;"100";"500";NA;NA;"900";"2700";"600";NA;NA;NA;NA;NA;NA;"6000";"600";NA;"1000";NA;NA;"600";NA;NA;NA;NA;"18300";NA;"200";NA;"400";NA;"100";NA;"600";"200";NA;"100";"1100";NA;NA;NA;"15.1";"32.2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1.4";"1281";"13.4";"25";"9.6";"16.5";"91";"435";"1.077";"2";"0.047"
"1987-05-20";NA;NA;"33100";NA;NA;"500";"500";"3300";"44000";"3000";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"300";"8400";"1800";NA;NA;NA;NA;NA;NA;"10000";"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1300";NA;"900";NA;"5500";NA;"100";"4900";"4400";"400";NA;NA;"1000";NA;NA;NA;"15.5";"32.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"2526";"9.9";"18.1";"7.85";"14.9";"53";"797";"-0.456";"0.98";"0.086"
"1987-06-16";"100";NA;"2600";NA;"100";"200";NA;NA;"18200";"5300";NA;NA;NA;NA;NA;"0";NA;NA;NA;"4000";NA;NA;"300";"8500";"1500";NA;NA;NA;NA;NA;NA;"21700";NA;NA;"300";NA;NA;"100";NA;NA;NA;NA;"2900";NA;"1000";NA;NA;NA;"200";NA;"500";"1500";"900";NA;NA;NA;NA;NA;"16.8";"32.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1.2";"2114";"11.4";"16.6";"9.6";"17.3";"77";"1956";"0.454";"-1.82";"0.221"
"1987-06-30";NA;NA;NA;NA;NA;"300";NA;"7800";"48200";"800";NA;NA;NA;NA;NA;"0";NA;NA;NA;"200";NA;NA;NA;"42400";"1300";NA;NA;NA;NA;NA;NA;"218100";NA;NA;NA;NA;NA;"400";"200";NA;NA;NA;"600";NA;"800";NA;NA;NA;"1700";NA;"100";"1000";"600";NA;NA;NA;NA;NA;"20.2";"32.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.2";"773";"18.3";"21.8";"7.6";"21.4";"65";"416";"-0.648";"-1.82";"0.221"
"1987-07-20";"100";NA;"400";NA;NA;NA;NA;"2400";"67100";"1300";NA;NA;NA;"100";NA;"0";NA;NA;NA;"700";NA;NA;"100";"500";"200";NA;NA;NA;NA;NA;NA;"4600";NA;NA;NA;NA;NA;"1700";NA;NA;NA;NA;"1500";NA;"700";NA;NA;NA;"100";"400";"100";NA;"1200";NA;"3700";NA;NA;"100";"20.3";"32.6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.2";"1402";"16.6";"20";"7.35";"20.6";"46";"3033";"-0.427";"0.52";"0.297"
"1987-07-31";NA;NA;"2500";NA;NA;NA;NA;"1000";"130400";"6500";NA;NA;NA;NA;"100";"50";NA;NA;NA;"500";NA;NA;NA;"9100";"400";NA;NA;NA;NA;NA;NA;NA;"500";NA;"400";NA;NA;"1700";NA;"200";NA;NA;"4100";NA;"700";NA;NA;NA;"400";"3700";NA;NA;"900";"500";"12900";NA;NA;NA;"20.6";"32.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.8";"1581";"18.2";"21";"7.1";"21.2";"70";"615";"-0.74";"0.52";"0.297"
